--- Samsung Health Diagnostic Results ---
Found 100463 total points. Showing 221 matching points.

TYPE                 | SOURCE                    | VALUE           | FROM
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 71.0 KILOCALORIE | 2026-03-13T19:04:35.030
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 238.6 KILOCALORIE | 2026-03-13T19:21:52.494
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 256.0 KILOCALORIE | 2026-03-13T19:47:54.709
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 81.0 KILOCALORIE | 2026-03-14T08:07:00.172
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 83.0 KILOCALORIE | 2026-03-14T20:48:46.478
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 81.0 KILOCALORIE | 2026-03-14T22:21:27.933
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 218.0 KILOCALORIE | 2026-03-15T09:44:19.696
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 471.5 KILOCALORIE | 2026-03-15T10:18:49.316
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 104.0 KILOCALORIE | 2026-03-15T11:02:12.592
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 156.0 KILOCALORIE | 2026-03-15T12:11:31.943
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 516.3 KILOCALORIE | 2026-03-16T14:02:03.709
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 193.9 KILOCALORIE | 2026-03-16T15:14:08.503
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 144.0 KILOCALORIE | 2026-03-16T15:54:21.500
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 75.0 KILOCALORIE | 2026-03-16T16:34:28.839
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 73.0 KILOCALORIE | 2026-03-17T09:02:03.807
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 546.1 KILOCALORIE | 2026-03-17T09:36:07.336
TOTAL_CALORIES_BURNE | com.sec.android.app.shealth              | 104.0 KILOCALORIE | 2026-03-17T10:45:05.680
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2188.5 METER    | 2026-03-01T08:53:04.817
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2988.7 METER    | 2026-03-01T09:23:24.433
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2679.6 METER    | 2026-03-01T10:06:01.645
DISTANCE_DELTA       | com.sec.android.app.shealth              | 558.9 METER     | 2026-03-02T09:36:01.702
DISTANCE_DELTA       | com.sec.android.app.shealth              | 226.2 METER     | 2026-03-02T11:16:44.725
DISTANCE_DELTA       | com.sec.android.app.shealth              | 235.6 METER     | 2026-03-03T13:38:04.270
DISTANCE_DELTA       | com.sec.android.app.shealth              | 13.4 METER      | 2026-03-03T14:50:51.573
DISTANCE_DELTA       | com.sec.android.app.shealth              | 635.4 METER     | 2026-03-04T10:10:40.036
DISTANCE_DELTA       | com.sec.android.app.shealth              | 36.6 METER      | 2026-03-04T10:21:14.178
DISTANCE_DELTA       | com.sec.android.app.shealth              | 3270.6 METER    | 2026-03-04T17:53:11.231
DISTANCE_DELTA       | com.sec.android.app.shealth              | 544.2 METER     | 2026-03-05T07:09:22.771
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1960.6 METER    | 2026-03-07T21:35:27.851
DISTANCE_DELTA       | com.sec.android.app.shealth              | 4730.1 METER    | 2026-03-08T10:33:48.389
DISTANCE_DELTA       | com.sec.android.app.shealth              | 988.0 METER     | 2026-03-08T12:35:05.472
DISTANCE_DELTA       | com.sec.android.app.shealth              | 50.6 METER      | 2026-03-09T09:53:25.116
DISTANCE_DELTA       | com.sec.android.app.shealth              | 81.9 METER      | 2026-03-09T11:03:28.742
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2561.5 METER    | 2026-03-09T21:22:58.807
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2411.1 METER    | 2026-03-10T09:42:01.323
DISTANCE_DELTA       | com.sec.android.app.shealth              | 4021.0 METER    | 2026-03-10T10:16:07.708
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2663.3 METER    | 2026-03-10T10:59:32.892
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1025.6 METER    | 2026-03-10T16:45:42.524
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1310.1 METER    | 2026-03-10T19:34:19.404
DISTANCE_DELTA       | com.sec.android.app.shealth              | 623.7 METER     | 2026-03-11T10:20:59.391
DISTANCE_DELTA       | com.sec.android.app.shealth              | 172.7 METER     | 2026-03-11T11:47:27.993
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1761.1 METER    | 2026-03-11T12:24:24.182
DISTANCE_DELTA       | com.sec.android.app.shealth              | 3856.8 METER    | 2026-03-11T21:05:44.913
DISTANCE_DELTA       | com.sec.android.app.shealth              | 742.1 METER     | 2026-03-12T15:13:03.195
DISTANCE_DELTA       | com.sec.android.app.shealth              | 649.5 METER     | 2026-03-13T14:13:42.843
DISTANCE_DELTA       | com.sec.android.app.shealth              | 648.7 METER     | 2026-03-13T19:04:35.030
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2585.3 METER    | 2026-03-13T19:47:54.709
DISTANCE_DELTA       | com.sec.android.app.shealth              | 932.0 METER     | 2026-03-14T08:07:00.172
DISTANCE_DELTA       | com.sec.android.app.shealth              | 962.9 METER     | 2026-03-14T20:48:46.478
DISTANCE_DELTA       | com.sec.android.app.shealth              | 862.4 METER     | 2026-03-14T22:21:27.933
DISTANCE_DELTA       | com.sec.android.app.shealth              | 2554.1 METER    | 2026-03-15T09:44:19.696
DISTANCE_DELTA       | com.sec.android.app.shealth              | 4725.8 METER    | 2026-03-15T10:18:49.316
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1293.0 METER    | 2026-03-15T11:02:12.592
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1860.7 METER    | 2026-03-15T12:11:31.943
DISTANCE_DELTA       | com.sec.android.app.shealth              | 608.8 METER     | 2026-03-16T15:14:08.503
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1194.8 METER    | 2026-03-16T15:54:21.500
DISTANCE_DELTA       | com.sec.android.app.shealth              | 752.1 METER     | 2026-03-16T16:34:28.839
DISTANCE_DELTA       | com.sec.android.app.shealth              | 646.6 METER     | 2026-03-17T09:02:03.807
DISTANCE_DELTA       | com.sec.android.app.shealth              | 1008.0 METER    | 2026-03-17T10:45:05.680
WORKOUT              | com.sec.android.app.shealth              | 5828 (W)        | 2026-03-01T08:53:04.817
WORKOUT              | com.sec.android.app.shealth              | 7036 (W)        | 2026-03-01T09:23:24.433
WORKOUT              | com.sec.android.app.shealth              | 6960 (W)        | 2026-03-01T10:06:01.645
WORKOUT              | com.sec.android.app.shealth              | 1480 (W)        | 2026-03-02T09:36:01.702
WORKOUT              | com.sec.android.app.shealth              | 1768 (W)        | 2026-03-02T09:57:01.002
WORKOUT              | com.sec.android.app.shealth              | 819 (W)         | 2026-03-02T11:16:44.725
WORKOUT              | com.sec.android.app.shealth              | 135 (W)         | 2026-03-03T13:38:04.270
WORKOUT              | com.sec.android.app.shealth              | 1853 (W)        | 2026-03-03T13:43:43.636
WORKOUT              | com.sec.android.app.shealth              | 209 (W)         | 2026-03-03T14:50:51.573
WORKOUT              | com.sec.android.app.shealth              | 1746 (W)        | 2026-03-04T10:10:40.036
WORKOUT              | com.sec.android.app.shealth              | 212 (W)         | 2026-03-04T10:21:14.178
WORKOUT              | com.sec.android.app.shealth              | 742 (W)         | 2026-03-04T10:27:17.274
WORKOUT              | com.sec.android.app.shealth              | 8830 (W)        | 2026-03-04T17:53:11.231
WORKOUT              | com.sec.android.app.shealth              | 1361 (W)        | 2026-03-05T07:09:22.771
WORKOUT              | com.sec.android.app.shealth              | 5398 (W)        | 2026-03-07T21:35:27.851
WORKOUT              | com.sec.android.app.shealth              | 14632 (W)       | 2026-03-08T10:33:48.389
WORKOUT              | com.sec.android.app.shealth              | 2670 (W)        | 2026-03-08T12:35:05.472
WORKOUT              | com.sec.android.app.shealth              | 169 (W)         | 2026-03-09T09:53:25.116
WORKOUT              | com.sec.android.app.shealth              | 1170 (W)        | 2026-03-09T10:00:57.796
WORKOUT              | com.sec.android.app.shealth              | 691 (W)         | 2026-03-09T11:03:28.742
WORKOUT              | com.sec.android.app.shealth              | 6854 (W)        | 2026-03-09T21:22:58.807
WORKOUT              | com.sec.android.app.shealth              | 6214 (W)        | 2026-03-10T09:42:01.323
WORKOUT              | com.sec.android.app.shealth              | 9076 (W)        | 2026-03-10T10:16:07.708
WORKOUT              | com.sec.android.app.shealth              | 6846 (W)        | 2026-03-10T10:59:32.892
WORKOUT              | com.sec.android.app.shealth              | 3350 (W)        | 2026-03-10T16:45:42.524
WORKOUT              | com.sec.android.app.shealth              | 3469 (W)        | 2026-03-10T19:34:19.404
WORKOUT              | com.sec.android.app.shealth              | 1478 (W)        | 2026-03-11T10:20:59.391
